Dataset description: 
 Total samples: 78096
 Total number of scenes: 4148 
 Max samples of scenes: 73 
 Mean samples of scenes: 18 
 Min samples of scenes: 4 

scene_id	count
0014b0a950224990b4a5f4520939343a	12
0020dceda698482db3fd8aad50cd59bb	17
0037a204015e40e69f8c88a9a8b97709	13
004099762d7c4e1a97e1ebcbbd82b891	13
00568cf31cb949beaf00216e3335418f	18
0073fdb335b044a588c42369017c4108	17
0075e344d6b845c9a57f7fd27e5cec5d	16
0077055fda844d88928ca42edb8bec20	12
0079d15f55e34155ba79a01a4f4fc904	14
007b2f19ae854ab5a04e426b121d1fc3	17
007f7b2e0e5845938c7e2a22a864c7ae	19
0092e4238e8443d9ae0c8733114375d7	20
00949f9873fe4ae0874a9b7309b79947	21
0095b80e57564da9af7e7c897d6a404d	18
00a195d6665b42d0b5276ccb995900dc	26
00a6d44222734957bf044d8278dbba10	14
00c68717d6034bab8d1634ceafa08294	37
00e05066af0f4c04b35240a499dbeaf1	21
010127e1a6734bbab9a71cf3430c3d6c	13
0106cd1deda540a3bde0566b9619db25	18
0107fb5261004b868af815abb845af1a	28
01310cc58ab246e9b191e87ec33a3140	17
013274fc51a3453a891e328d17411896	10
0134191bba9a4de4a3100d1146b663a6	27
0143b24d93b346348c7bf6d21d4076b3	13
014f158112a24b0c917a3323a9adf188	29
01981f36765b476099094100c179ddc3	19
01990c40b50c4e068ee756fa3a04bf82	19
01c18b15d54741d4b9b4160a9c34d0b9	21
01ca092875984cf5abf390dbd4a2ea5e	31
01cf212c04224efeadfe1a5a23de7830	17
01eb20f315664f98b942103000e01979	18
02075ba9389540c6aeca64bb63a1e9c5	14
023baaf73c9642ca99c142e3370dddd7	18
02443640e099473c8e5e5fe3ce2fcb80	18
024ea23142d14db6b4241e70989f033c	20
029c8e5206964e5b976d048087ededc6	15
029dd85b76ff4477b73979576c85833e	20
02a32f92a1914b87bae4a85c8f17e03c	22
02af3c2a1a644d149b2735f62ad5448a	19
02b1d1ec031344e2b41dabab2bee28cc	14
02b2af056c7940e0887f1019ca2aad2b	16
02c3541d0f394d73aea42ee8c5ce9fa6	19
02c5a7021f7f466386d8bd151b764ee0	17
02d7e58db3d04db19715e4bd74680ea8	14
02ee6c4620014292a776c7bf946375b1	11
02f65837eefc43368de9996113a949e8	19
031b976148184b8a986538ff85de31a2	15
03327bc8aba5437d875c6ca0ad367f91	14
03334f41e8b34bf5b3b1876de0fee620	20
033c69e401c944e78d61b4133517e3ec	18
0357d278c44c436ab7a9dce57b31063a	18
035f3a5b382048648ca68c763e1c9cd9	10
036a7b34afb645f7a6b4cc7a17293d02	16
03882324e8204537898338b739e817a9	25
03b68b7b3c704df79735b0c749f125da	12
03c183cdd7984e07a2fe06833db8d480	18
03c839baa5f6456fae3ba2ab42c80fca	17
03dffe628c6543d29b88726ed9d2d9d6	19
03e0caa81b494138900e8eb8694a1133	16
03e60db41a1b4f3a9ba8587aab93ff05	22
03eab64fab3d4d7a82e220aa48017ac0	25
04012dfe7c804a228ff2726e5947d195	17
044a78631e174cf5a1b05980af52ce9f	27
0463076e541c4a7b8473a765c462ed1a	13
0478dbf9401949478caf5be57a11d24e	33
0481af1f7ca44115b057f9f1e9a981b6	14
048524ca096e4ba8a7bd1b9ad99e404a	35
04912a29191c4705b0c85bf5c0c72981	21
0497b18829d541d4ac29085b6095f926	19
04d19ed1e4f242b2b528e95efd066650	20
04e76c74a90a456ebcf90b9dd92d4505	13
05073b8913534aa7986f14144080d466	21
0507f0b649184049bf237fd12868bf72	18
053bfe84fe7e452fab542294091ff02e	16
053c214ab7664a96b302b5b9286c66be	11
055e0ab15caa4cc39cdc90ad99c5c7c8	18
0576af6e87564491b1df01d100420dbf	16
05827aac6de0413d8c53599e800f9f86	17
058762e0ff444ca5b8cab29a25ef02ed	14
058da57fb0f246ab92f29b87b4647cf2	19
059025fe3ab64da2a30c49be2f8e54d7	20
05906a0f3d4348389790acfe96510d0d	25
05bf8b7d03c24a09b7771a2c01c4ff2e	26
05c750c91d8046249f98109cd5413f88	29
05ca8fc8f5984ec0842eacb60ed2bbf3	16
05df1af2cde94b868977a40ae49db23f	21
05e77a0aab6642f989a13bc1d800f939	17
05ef820f41a04027b31d3f26b959b818	20
05f582f284094b719b3e103b20fbbb7b	17
061015c3bcc2470bbbba238df9f8157c	10
06462888757f4b35aff3259e305e85a2	18
064badad185246ab9ef4bde97cd62168	20
06537f4bac3a47cbbcaf03a0f95c8021	7
067aad47073f4bf89997c251d89a71fd	16
068c566437824a9db9c8a0b48b0c47c7	12
0690d51419824f7b8edab2b39a3d27c1	14
069d005b41bd40d4b97c9fd4289c0a1f	17
06a0155ea35c476589fb5d9a42b0c732	29
06a310cc1ed746528b09def81e222b3d	20
06b6b052db18459aacc1f58a9762f883	9
06c113add798465a9ccdd80711cd5506	26
06d626170e8e4a57b312d23d3e191d03	24
06e3835753a941ebbb9606b6bb897e08	7
06f44dea592b4762a6570a00dfb8f4f4	26
06f5ded4338e45e09c903da0c80f04ab	9
0706cacbfb00486ba239a8b28d73a097	13
073f2d7a9ec14e099ca2e4206281097f	19
074a391c3f8a4cb18599af84bae07c1b	13
076a879e806b4e10b62c52bd0d8dee27	15
076a998b966341a9b08555d910d4ccaf	12
07a2b4e4c421452490f745e8783241c9	31
07ac24bdf283496ba98e7a5019890706	15
07cea3df8bfb4d5288d852562daf72d0	25
07da105777254e1991a2c5be658d96eb	20
0802dda60e3e479c98d671e3e6c3d28c	15
080c42eb70224aec9745238e55066f7c	25
0840bb5ac01b4c69b9a832a00229c57a	15
0842225b1fb1408fb8fd9dc125aedaa8	21
084593215ec64c2d91e05395447df292	27
