Dataset description: 
 Total samples: 623934
 Total number of scenes: 33311 
 Max samples of scenes: 74 
 Mean samples of scenes: 18 
 Min samples of scenes: 3 

scene_id	count
0001c82ccb08448bbd40a112977459d8	19
000355d21f444d2aa41d752190c7cc9d	8
0003d13696be44fcb399d17a8bd432b8	13
000670f74a3c41839f9d040bf305620d	18
0007c82e215a424ea1b1a5e4bca4547a	19
000a0369a56c45a39597e957cdb708bd	18
000b2438f1ac431eb8fae12479e9c587	15
000baadf777a4e4a862e8d01660e166c	14
000d9484d597456382e8c145e942608d	15
000f176de95845f5a201a8463d41b8d5	8
000f738ceecd49eba481c960afe67c24	16
000ff8d62e184885a8b72933172bf256	19
00126e1648cc44b1bc39345afe748b44	14
00131c422a43474581a25d9fc1431835	12
0019c181913146c79f2bfac28eab6592	20
001c97ee742a484ebfd5cc67b883e9a3	17
001d7aac16cf40ca9b432e23dd1a95f0	29
001e6e48e50243cc8486fb7c2f4d6ec5	19
001faba8669b47b7ae7cf550adc3713c	14
00200a06d626450995b645875e084104	23
00222604c306455aa43e8c97210b3da9	22
0024070b97974a2783eb5cb9bd2dd45d	14
00248a22f6eb424d859d434fe164c575	21
0024932319b746e88604ffd27d633b0f	21
002b3f8a6bea4e4ea6c41e735b2c3871	22
002da1fe4fd44f31948d16dc9698b374	22
002ddd37a4704bc69b71db2b4070e982	19
002e2bee1ee84099b7b2d1daf9216849	31
00326161c149427aa4b71775ccc4ae44	26
003655cdd1844c3da0cbcccec7c61e98	24
0036561b2fab4aa4b75ff32c0e657c06	15
00384aae4ded4d35a212843b0c826592	19
003b2ef79ab74305a84cefd071368339	12
003d996ee97c478aa75dfe78df1a68e0	23
004125546ed0432f940186303987e072	18
004295e1e036487e9fa18dcb6836109b	15
00434d56b3414834b5a07b1f1b267e9a	14
0044a9f45d874972ae5712197d436512	14
004782e1aa674704a49c230d3e7d6872	23
004aaaf21d6e49eaa56283cfb0bf33f6	14
0050228981b8480584ee66adacca518d	12
0053fb32449749fd9f05469870f6b7a2	16
005b6636c7674542a773e398d8cb7c0c	11
005c8816b9524e8d844cea25e57717f1	22
005d8bcd8fc748829d5050c803d1908f	24
005ec316ec2d43fdbcc8825380c824ba	27
005f80e3f94a46cc968fa13dab2c597d	15
0060a2c015c24a7ab082f03159738bd7	11
00612d753edf454982894d587bd31175	26
006145aaadf54427b887df8cfae729d1	20
0064b5b2e1db4a15a8361dd8959102a8	16
0066ef8a05184d408a8c19b74f06d114	17
00681170312f4d6e921b26607034ecbd	11
00682020552f46e1abba53cc1476a8cf	25
00689ba76a0e4bddbdf85ad5e2bfc331	22
006918c255ba4c56b69d2a8344ffe541	15
0069988757284147bd5ab94d2a796282	21
